Filename,Full Observation,Core Observation Sentence,Contains Cause & Effect? (yes/no),Cause related to engineered products? (yes/no),Effect related to economic impact? (yes/no),Relevant Portion of the Observation
A novel approach to include sustainability concepts in classical DFMA methodology for sheet metal enclosure devices.txt,"( 2017 ) and Kulatunga et al. ( 2015 ) are&Jaime Mesa jamesa@uninorte.edu.co Heriberto Maury hmaury@uninorte.edu.co Rene´Arrieta arrietar@uninorte.edu.co Lesmes Corredor lcorredo@uninorte.edu.co Jorge Bris jbrix@uninorte.edu.co 1Mechanical Engineering Department, Universidad Del Norte, Barranquilla, Colombia 123Res Eng Design (2018) 29:227–244 https://doi.org/10.1007/s00163-017-0265-4focused on deﬁning methodologies for eco-design practices in product design and formal methods considering ﬁnal product disposals as reuse or recycling. From the per- spective of design stage and considering early phases ofproduct development, it is common to ﬁnd methodologies regarding DFMA, which allows reducing the product complexity and enables a signiﬁcant reduction of costs andoperational time (Boothroyd et al. 2002 ; Eastwood and Haapala 2015 ). Nevertheless, the sustainability is not considered a basic aim of the DFMA approach and the indicators employed in the methods do not consider the three sustainability dimensions strictly and the effect of theapplication of the rules over another lifecycle stages.","From the per- spective of design stage and considering early phases ofproduct development, it is common to ﬁnd methodologies regarding DFMA, which allows reducing the product complexity and enables a signiﬁcant reduction of costs andoperational time (Boothroyd et al",yes,yes,yes,"""From the perspective of design stage and considering early phases of product development, it is common to ﬁnd methodologies regarding DFMA, which allows reducing the product complexity and enables a signiﬁcant reduction of costs and operational time (Boothroyd et al. 2002 ; Eastwood and Haapala 2015 )."""
A novel approach to include sustainability concepts in classical DFMA methodology for sheet metal enclosure devices.txt,"Nevertheless, the sustainability is not considered a basic aim of the DFMA approach and the indicators employed in the methods do not consider the three sustainability dimensions strictly and the effect of theapplication of the rules over another lifecycle stages. An integrated approach to the design of sustainable sheet metal enclosures must combine tools such as DFMA, design forenvironment—DFE, DFRem, among others, wherein suf- ﬁcient and appropriate indicators associated with all pro- duct lifecycle phases have to be included. The motivation of this research is the possibility of integrating the DFMA approach with other engineering tools to generate a speciﬁc method for reducing negativeimpacts on the product development of sheet metal enclosures from early design stages. The proposed method is focused on the integration of functional analysis, CAD/CAE tools, sustainability indicators and DFMA rules to generate more sustainable product alternatives. The steps of the proposed method provide a formal approach to thesustainability enhancing of sheet metal devices; however, the rules can be applied to any product with similar manufacturing and assembly processes.",The motivation of this research is the possibility of integrating the DFMA approach with other engineering tools to generate a speciﬁc method for reducing negativeimpacts on the product development of sheet metal enclosures from early design stages,yes,yes,no,
Advanced research methods and their applications on the nexus of energy efficiency and environment - evidence from five RCEP economies..txt,"Hence, the third objective of the paper is to examinethe influence of economic growth on the CO 2emission level. Moreover, the devel- oped economies are advanced in technologies, innovations, and human Capital and are prominent in reducing CO 2emissions. Therefore, the final objective of the cur- rent study is to analyze the impact of environmental-related technological innovationand human capital index on CO 2emission reduction. This study attempts to achieve the aforementioned objectives via advanced and reliable econometric techniques.5678 F. ZHANG ET AL.The rest of the study is organized as follows.","Therefore, the final objective of the cur- rent study is to analyze the impact of environmental-related technological innovationand human capital index on CO 2emission reduction",yes,yes,no,
Advanced research methods and their applications on the nexus of energy efficiency and environment - evidence from five RCEP economies..txt,"The study used the autoregressive distributed lag (ARDL)ECONOMIC RESEARCH-EKONOMSKA ISTRA ŽIVANJA 5679approach and concluded that a positive shock in the energy efficiency significantly decreases CO 2emissions while negative shock increases CO 2emissions in both devel- oped and developing countries. Huang et al. ( 2021b ) examined the impact of green investment, renewable energy consumption and technological innovation on CO 2 emissions of 30 sample provinces of China from 1995 –2019. The results of CS-ARDL approach shows that renewable energy, technological innovation and green invest- ment is important in abating CO 2emissions in China. It is also found that any policy change in green investment, financial development, renewable energy, technologicalinnovation, and natural resource rent has strong implications for environmental qual-ity of China.","( 2021b ) examined the impact of green investment, renewable energy consumption and technological innovation on CO 2 emissions of 30 sample provinces of China from 1995 –2019",yes,yes,no,
Advanced research methods and their applications on the nexus of energy efficiency and environment - evidence from five RCEP economies..txt,"Huang et al. ( 2021b ) examined the impact of green investment, renewable energy consumption and technological innovation on CO 2 emissions of 30 sample provinces of China from 1995 –2019. The results of CS-ARDL approach shows that renewable energy, technological innovation and green invest- ment is important in abating CO 2emissions in China. It is also found that any policy change in green investment, financial development, renewable energy, technologicalinnovation, and natural resource rent has strong implications for environmental qual-ity of China. Therefore, shifting the economic structure to renewable energy is an important strategy to reduce carbon emissions.","The results of CS-ARDL approach shows that renewable energy, technological innovation and green invest- ment is important in abating CO 2emissions in China",yes,yes,no,
Advanced research methods and their applications on the nexus of energy efficiency and environment - evidence from five RCEP economies..txt,"Based on panel data of 30 provinces in China from 2009 to 2017, Huang and Chen ( 2021 ) utilized the spatial Durbin model (SDM) and the threshold model to examine the effect of green finance on environmental quality. They found green finance has a significant positive effect on local environmental quality but has negative effects on that of its neighbors during the research period;however, the spatial spillover effect of green finance is heterogeneous in thethree subsamples.5680 F. ZHANG ET AL.Besides energy efficiency and financial inclusion, other variables, including eco- nomic growth, environmental-related technological innovation, and human Capital,also determine the environmental quality of a country or region. In this regard, the scholars provided extensive literature examining the symmetric or asymmetric impact of economic growth on the level of CO 2emissions. Such studies include Wang and Zhang ( 2020 ), Dong et al.","ZHANG ET AL.Besides energy efficiency and financial inclusion, other variables, including eco- nomic growth, environmental-related technological innovation, and human Capital,also determine the environmental quality of a country or region",yes,yes,no,
Advanced research methods and their applications on the nexus of energy efficiency and environment - evidence from five RCEP economies..txt,"Specifically, Huang et al.(2021c ) demonstrate that the targeted economic growth leads developing economies towards environmental degradation, whereas human Capital and green energy are yetto develop. Additionally, Mushta et al. ( 2020 ) demonstrate that income inequality and economic growth strongly influence CO 2emissions in China, while technological innovation moderates this nexus or level of influence. On the other hand, Ozturk and Salah Uddin ( 2012 ) empirically demonstrate that economic growth and energy con- sumption strongly cause each other, contributing to CO 2emissions surge and causing environmental degradation. On the contrary, Ozturk et al.","( 2020 ) demonstrate that income inequality and economic growth strongly influence CO 2emissions in China, while technological innovation moderates this nexus or level of influence",yes,yes,no,
Advanced research methods and their applications on the nexus of energy efficiency and environment - evidence from five RCEP economies..txt,"At the same time, two variables that may represent affluence in this context is financial inclusion (FIN) and gross domes-tic product (GDP), which are used in the two separate models since both covers theeconomic factors for the Model. Additionally, the urban population indicates ( P)i s proxied by the human capital index (HCI), which the earlier studies have depicted asa strong influencer of environmental pollution (Bano et al., 2018 ; Huang et al., 2022a ; Sarkodie et al., 2020 ). Lastly, the proxy for technology, in this case, is energy effi- ciency and energy-related technological innovation, which could affect environmental pollution (Mahapatra & Irfan, 2021 ; Huang et al., 2021b ). Following the above-men- tioned models, this study emphasizes on the STIRPAT model.ECONOMIC RESEARCH-EKONOMSKA ISTRA ŽIVANJA 5683Based on the prior literature as provided in Sec. 2 and the theoretical notion above, it is observed that the recent trend of reducing the CO 2emission in control- ling environmental degradation via energy efficiency attracts the scholars ’and researchers ’attention.","Lastly, the proxy for technology, in this case, is energy effi- ciency and energy-related technological innovation, which could affect environmental pollution (Mahapatra & Irfan, 2021 ; Huang et al., 2021b )",yes,yes,no,
Advanced research methods and their applications on the nexus of energy efficiency and environment - evidence from five RCEP economies..txt,"Variable Variable ’s specification Source CO2 Carbon dioxide emission, measured in kiloton (kt)https://databank.worldbank.org/source/world- development-indicators#advancedDownload Options FIN Financial inclusion is an index computed by using variables such as Institutions ofcommercial banks, Branches of commercial banks, Outstanding deposits with commercial banks (% of GDP), Numbers of ATMs per100,000 adults and outstanding loans fromcommercial banks (% GDP)https://data.imf.org/ GDP Gross domestic product, measured at constant US$ 2010 priceshttps://databank.worldbank.org/source/world- development-indicators#advancedDownloadOptions ENEF Energy Efficiency is energy consumption per unit of GDP (constant 2017 PPP $ per kg of oil equivalent)https://databank.worldbank.org/source/world- development-indicators#advancedDownload Options ERTI Environmental-related technological innovation https://stats.oecd.org/# HCI Human Capital Index (extracted from Penn World Table 10.0)https://fred.stlouisfed.org/release?rid=285 Source: Specified by the authors.5684 F. ZHANG ET AL.Model 1 CO2¼fðFIN it,ENEF it,ERTI it,HCI itÞ Model 1 reveals that carbon emission is the function of financial inclusion, energy efficiency, environmental-related technological innovation, and human capital index across the selected panel throughout the selected period. Model 2 CO 2¼fðGDP it,ENEF it,ERTI it,HCI itÞ where Model 2 indicates that carbon emission is the function of GDP, energy effi- ciency, environmental-related technological innovation and human capital index across the selected panel throughout the selected period, the modified form of these two mod- els into regression equation are Eqs. (3) and(4)given below, respectively. CO 2¼c0þc1FIN itþc2ENEF itþc3ERTI itþc4HCI itþeit (3) CO2¼c0þc1GDP itþc2ENEF itþc3ERTI itþc4HCI itþeit (4) where c0represents the intercept, and c1,c2,c3andc4represent the slope coeffi- cient for each exogenous variable taken under consideration in both Model 1 and Model 2, respectively.","Model 2 CO 2¼fðGDP it,ENEF it,ERTI it,HCI itÞ where Model 2 indicates that carbon emission is the function of GDP, energy effi- ciency, environmental-related technological innovation and human capital index across the selected panel throughout the selected period, the modified form of these two mod- els into regression equation are Eqs",yes,yes,no,
Advanced research methods and their applications on the nexus of energy efficiency and environment - evidence from five RCEP economies..txt,"(3) and(4), could be modified into the panel quantile regres- sion form as provided in Eqs. (8) and(9), respectively. QCO2,itðhjai,ut,XitÞ¼aiþutþu1,hFIN itþu2,hENEF itþu3,hERTI itþu4,hHCI itþeit (8) QCO2,itðhjai,ut,XitÞ¼aiþutþu1,hGDP itþu2,hENEF itþu3,hERTI itþu4,hHCI itþeit (9) where hsignifies the quantile for each variable under consideration, however, this study adopts three quantiles, i.e., Q 25,Q 50, and Q 75,to empirically investigate the influence of financial inclusion, GDP, energy efficiency, environmental-related technological innovation, and the human capital index on the CO 2emission of the five RCEP economies.ECONOMIC RESEARCH-EKONOMSKA ISTRA ŽIVANJA 5687After estimating the long-run coefficients of the exogenous variables, we further analyze the causal relationship between the under discussion variables employing theDumitrescu and Hurlin ( 2012 ) Granger panel causality heterogeneous test. It is assumed that when the time-series is not equal to the cross-section, the Dumitrescuand Hurlin ( 2012 ) Granger panel causality heterogeneous test provides efficient esti- mates. Besides, the said test also tackles the panel data issues such as slope coefficientheterogeneity and the cross-section dependency.","QCO2,itðhjai,ut,XitÞ¼aiþutþu1,hFIN itþu2,hENEF itþu3,hERTI itþu4,hHCI itþeit (8) QCO2,itðhjai,ut,XitÞ¼aiþutþu1,hGDP itþu2,hENEF itþu3,hERTI itþu4,hHCI itþeit (9) where hsignifies the quantile for each variable under consideration, however, this study adopts three quantiles, i.e., Q 25,Q 50, and Q 75,to empirically investigate the influence of financial inclusion, GDP, energy efficiency, environmental-related technological innovation, and the human capital index on the CO 2emission of the five RCEP economies.ECONOMIC RESEARCH-EKONOMSKA ISTRA ŽIVANJA 5687After estimating the long-run coefficients of the exogenous variables, we further analyze the causal relationship between the under discussion variables employing theDumitrescu and Hurlin ( 2012 ) Granger panel causality heterogeneous test",yes,yes,no,
Advanced research methods and their applications on the nexus of energy efficiency and environment - evidence from five RCEP economies..txt,"Source: Calculated by the authors.ECONOMIC RESEARCH-EKONOMSKA ISTRA ŽIVANJA 5689of the variables to the equilibrium state instead of being at the equilibrium state. Hence, it is determined that carbon emission, financial inclusion, GDP, environmen- tal-related innovation, human capital index and energy efficiency encompass thelong-run cointegration relationship. Table 6 presents the estimated results for the panel quantile regression identifying the influence of financial inclusion, environmental-related technological innovation, human capital index, and energy efficiency on the CO 2emission in model 1, and the impact of GDP, environmental-related technological innovation, human capital index, and energy efficiency on CO 2emission in Model 2 at 25th, 50th and 75th quantile. Specifically, the results of the Model 1 reveal that a one per cent increase in the financial inclusion increases the CO 2emission level by 1.753, 1.765 and 1.470% in the 25th, 50th and 75th quantile, respectively. The results are found statistically signifi- cant at a 1% level in all three quantiles.","Table 6 presents the estimated results for the panel quantile regression identifying the influence of financial inclusion, environmental-related technological innovation, human capital index, and energy efficiency on the CO 2emission in model 1, and the impact of GDP, environmental-related technological innovation, human capital index, and energy efficiency on CO 2emission in Model 2 at 25th, 50th and 75th quantile",yes,yes,no,
Advanced research methods and their applications on the nexus of energy efficiency and environment - evidence from five RCEP economies..txt,"However, financialinclusion and economic growth are stronger in the second quantile than in the 25thand 75th quantiles. In contrast, energy efficiency, human capital, and environmental-related techno- logical innovation negatively and significantly affect CO 2emissions and promoteECONOMIC RESEARCH-EKONOMSKA ISTRA ŽIVANJA 5693environmental sustainability. Moreover, the panel causality test of Dumitrescu and Hurlin ( 2012 ) reports the unidirectional causal association running from financial inclusion and environmental-related technological innovation to CO 2emissions. However, bidirectional causality is found between GDP, energy efficiency and human capital index with CO 2emission in the five RCEP economies. 5.2.","Moreover, the panel causality test of Dumitrescu and Hurlin ( 2012 ) reports the unidirectional causal association running from financial inclusion and environmental-related technological innovation to CO 2emissions",yes,yes,no,
Advanced research methods and their applications on the nexus of energy efficiency and environment - evidence from five RCEP economies..txt,"019 Bai, C., Feng, C., Yan, H., Yi, X., Chen, Z., & Wei, W. ( 2020 ). Will income inequality influence the abatement effect of renewable energy technological innovation on carbon dioxide emis- sions? Journal of Environmental Management ,264, 110482. https://doi.org/10.1016/j.jenv- man.2020.110482 Banday, U. J., & Aneja, R.","Will income inequality influence the abatement effect of renewable energy technological innovation on carbon dioxide emis- sions? Journal of Environmental Management ,264, 110482",no,,,
Alleviating feature fatigue of multi-generation products..txt,"It becomes severer in multi-generation products because of the significant impacts of earlier generation productson the CE of later ones. The purpose of this paper is to alleviate FF, it is imperative for designersto decide what features should be integrated to balance initial revenue and long-term profit so asto maximize CE.Design/methodology/approach –In this paper, a novel method based on the Norton-Bass model is proposed to alleviate FF of multi-generation products to help designers find optimal feature combinationthat maximizes CE. The authors take the effects of adding features on product capability and usabilityinto account, and integrate product capability, usability, WOM and earlier-generation product ’s effects into the Norton-Bass model to predict the impacts of FF on CE in current product development. A case study of a virtual product is presented to illustrate and validate the proposed method.Findings –The advantage of the proposed method is highlighted in the cases of large feature number, high-product complexity (low-product usability) and multi-generation products. The experiments showthat the earlier generations do affect the later ones from the perspective of maximizing CE.The superiority of the proposed method compared with the traditional way to put all potential featuresinto a product during the product development is demonstrated.","The authors take the effects of adding features on product capability and usabilityinto account, and integrate product capability, usability, WOM and earlier-generation product ’s effects into the Norton-Bass model to predict the impacts of FF on CE in current product development",yes,yes,yes,"""In this paper, a novel method based on the Norton-Bass model is proposed to alleviate FF of multigeneration products to help designers find optimal feature combination that maximizes CE. The authors take the effects of adding features on product capability and usability into account, and integrate product capability, usability, WOM and earlier-generation product’s effects into the Norton-Bass model to predict the impacts of FF on CE in current product development."""
Alleviating feature fatigue of multi-generation products..txt,"The authors take the effects of adding features on product capability and usabilityinto account, and integrate product capability, usability, WOM and earlier-generation product ’s effects into the Norton-Bass model to predict the impacts of FF on CE in current product development. A case study of a virtual product is presented to illustrate and validate the proposed method.Findings –The advantage of the proposed method is highlighted in the cases of large feature number, high-product complexity (low-product usability) and multi-generation products. The experiments showthat the earlier generations do affect the later ones from the perspective of maximizing CE.The superiority of the proposed method compared with the traditional way to put all potential featuresinto a product during the product development is demonstrated. And the more features, the largerCE obtained using the proposed model than the one obtained by traditional way.Originality/value –Although, there are reports attempting to analyze and alleviate FF, most of these studies still suffer the limitations that cannot point out what features should be added to the productwith the objective of maximizing CE. In addition, few studies have been carried out to alleviate FFof multi-generation products.",The experiments showthat the earlier generations do affect the later ones from the perspective of maximizing CE.The superiority of the proposed method compared with the traditional way to put all potential featuresinto a product during the product development is demonstrated,yes,yes,yes,The experiments show that the earlier generations do affect the later ones from the perspective of maximizing CE.
Alleviating feature fatigue of multi-generation products..txt,"Wu et al. (2013) proposed a new method based on the SIR epidemic model to solve the problem, but they onlyconsidered one generation of the product (see discussions of the related work review in the next section). In this paper, we propose a novel method based on the Norton-Bass model to predict and alleviate FF, which will help designers find an optimal feature combination in current product development considering successive earlier generations. Product capability, usability, inter-generation and WOM effects (positive and negative) areintegrated into the Norton-Bass model to predict the impacts of adding features on customer acquisition process (i.e. acquisition and retention).","In this paper, we propose a novel method based on the Norton-Bass model to predict and alleviate FF, which will help designers find an optimal feature combination in current product development considering successive earlier generations",yes,yes,no,
Alleviating feature fatigue of multi-generation products..txt,"acquisition and retention). Simultaneously, we predict the impacts of product usability on customer retention. Based on the aboveanalysis, CE can be calculated in the early stages of product development according to the customer transition model. Designers can get decision supports to decide what features should be added to the product so as to maximize CE, thus alleviatingFF. The main contributions of this paper are: first,the proposed method can helpdesigners decide what features should be added instead of only deciding the optimal number; second, Our model takes multi-generation products into consideration while combining FF and CE in the process of product development.","Based on the aboveanalysis, CE can be calculated in the early stages of product development according to the customer transition model",no,,,
Alleviating feature fatigue of multi-generation products..txt,"Based on the aboveanalysis, CE can be calculated in the early stages of product development according to the customer transition model. Designers can get decision supports to decide what features should be added to the product so as to maximize CE, thus alleviatingFF. The main contributions of this paper are: first,the proposed method can helpdesigners decide what features should be added instead of only deciding the optimal number; second, Our model takes multi-generation products into consideration while combining FF and CE in the process of product development. The remainder of this paper is organized as follows. In Section 2 we review the related works in the literature.","The main contributions of this paper are: first,the proposed method can helpdesigners decide what features should be added instead of only deciding the optimal number; second, Our model takes multi-generation products into consideration while combining FF and CE in the process of product development",yes,yes,no,
